procs|alg|input|items|utc|ts|duration|func
8|dummy_sort|random|10|14 Jun 2019 21:30:10.910728|1560547810910746|0.00000000|frag
8|dummy_sort|random|10|14 Jun 2019 21:30:10.911088|1560547810911114|0.00000000|rpcpmap
8|dummy_sort|random|10|14 Jun 2019 21:30:10.911344|1560547810911370|0.00000000|merge
8|dummy_sort|random|10|14 Jun 2019 21:30:10.908312|1560547810910722|0.001000|all
8|dummy_sort|random|100|14 Jun 2019 21:30:10.911833|1560547810911859|0.00000000|frag
8|dummy_sort|random|100|14 Jun 2019 21:30:10.912149|1560547810912180|0.00000000|rpcpmap
8|dummy_sort|random|100|14 Jun 2019 21:30:10.912411|1560547810912442|0.00000000|merge
8|dummy_sort|random|100|14 Jun 2019 21:30:10.911780|1560547810911818|0.001000|all
8|dummy_sort|random|1000|14 Jun 2019 21:30:10.913105|1560547810913132|0.00000000|frag
8|dummy_sort|random|1000|14 Jun 2019 21:30:10.913812|1560547810913849|0.00000000|rpcpmap
8|dummy_sort|random|1000|14 Jun 2019 21:30:10.914266|1560547810914292|0.00000000|merge
8|dummy_sort|random|1000|14 Jun 2019 21:30:10.912975|1560547810913012|0.002000|all
8|dummy_sort|random|10000|14 Jun 2019 21:30:10.915685|1560547810915712|0.00100000|frag
8|dummy_sort|random|10000|14 Jun 2019 21:30:10.917971|1560547810918018|0.00200000|rpcpmap
8|dummy_sort|random|10000|14 Jun 2019 21:30:10.919805|1560547810919830|0.00200000|merge
8|dummy_sort|random|10000|14 Jun 2019 21:30:10.915064|1560547810915106|0.005000|all
8|dummy_sort|random|100000|14 Jun 2019 21:30:10.935613|1560547810935666|0.00800000|frag
8|dummy_sort|random|100000|14 Jun 2019 21:30:10.956929|1560547810956974|0.02100000|rpcpmap
8|dummy_sort|random|100000|14 Jun 2019 21:30:10.970539|1560547810970580|0.01300000|merge
8|dummy_sort|random|100000|14 Jun 2019 21:30:10.927308|1560547810927361|0.043000|all
8|dummy_sort|random|1000000|14 Jun 2019 21:30:11.120737|1560547811120783|0.07200000|frag
8|dummy_sort|random|1000000|14 Jun 2019 21:30:11.347806|1560547811347869|0.22700000|rpcpmap
8|dummy_sort|random|1000000|14 Jun 2019 21:30:11.535265|1560547811535303|0.18600000|merge
8|dummy_sort|random|1000000|14 Jun 2019 21:30:11.046399|1560547811046447|0.489000|all
8|quicksort_random|random|10|14 Jun 2019 21:30:12.223762|1560547812223810|0.00000000|frag
8|quicksort_random|random|10|14 Jun 2019 21:30:12.224387|1560547812224441|0.00100000|rpcpmap
8|quicksort_random|random|10|14 Jun 2019 21:30:12.224945|1560547812224973|0.00000000|merge
8|quicksort_random|random|10|14 Jun 2019 21:30:12.223679|1560547812223749|0.001000|all
8|quicksort_random|random|100|14 Jun 2019 21:30:12.225611|1560547812225637|0.00000000|frag
8|quicksort_random|random|100|14 Jun 2019 21:30:12.226194|1560547812226219|0.00000000|rpcpmap
8|quicksort_random|random|100|14 Jun 2019 21:30:12.226662|1560547812226686|0.00000000|merge
8|quicksort_random|random|100|14 Jun 2019 21:30:12.225563|1560547812225596|0.001000|all
8|quicksort_random|random|1000|14 Jun 2019 21:30:12.227383|1560547812227405|0.00100000|frag
8|quicksort_random|random|1000|14 Jun 2019 21:30:12.228834|1560547812228869|0.00100000|rpcpmap
8|quicksort_random|random|1000|14 Jun 2019 21:30:12.234474|1560547812234538|0.00600000|merge
8|quicksort_random|random|1000|14 Jun 2019 21:30:12.227287|1560547812227313|0.008000|all
8|quicksort_random|random|10000|14 Jun 2019 21:30:12.237889|1560547812237949|0.00100000|frag
8|quicksort_random|random|10000|14 Jun 2019 21:30:12.251036|1560547812251088|0.01200000|rpcpmap
8|quicksort_random|random|10000|14 Jun 2019 21:30:12.280772|1560547812280818|0.02900000|merge
8|quicksort_random|random|10000|14 Jun 2019 21:30:12.236247|1560547812236295|0.045000|all
8|quicksort_random|random|100000|14 Jun 2019 21:30:12.293513|1560547812293555|0.00700000|frag
8|quicksort_random|random|100000|14 Jun 2019 21:30:12.391953|1560547812391994|0.09800000|rpcpmap
8|quicksort_random|random|100000|14 Jun 2019 21:30:12.764026|1560547812764059|0.37100000|merge
8|quicksort_random|random|100000|14 Jun 2019 21:30:12.286340|1560547812286388|0.478000|all
8|quicksort_random|random|1000000|14 Jun 2019 21:30:12.910861|1560547812910899|0.07900000|frag
8|quicksort_random|random|1000000|14 Jun 2019 21:30:13.895589|1560547813895674|0.98500000|rpcpmap
8|quicksort_random|random|1000000|14 Jun 2019 21:30:17.705990|1560547817706031|3.81000000|merge
8|quicksort_random|random|1000000|14 Jun 2019 21:30:12.827987|1560547812828040|4.879000|all
7|dummy_sort|random|10|14 Jun 2019 21:30:18.431095|1560547818431117|0.00000000|frag
7|dummy_sort|random|10|14 Jun 2019 21:30:18.431507|1560547818431535|0.00000000|rpcpmap
7|dummy_sort|random|10|14 Jun 2019 21:30:18.431888|1560547818431916|0.00000000|merge
7|dummy_sort|random|10|14 Jun 2019 21:30:18.431053|1560547818431088|0.001000|all
7|dummy_sort|random|100|14 Jun 2019 21:30:18.432609|1560547818432631|0.00000000|frag
7|dummy_sort|random|100|14 Jun 2019 21:30:18.433046|1560547818433075|0.00000000|rpcpmap
7|dummy_sort|random|100|14 Jun 2019 21:30:18.433370|1560547818433398|0.00000000|merge
7|dummy_sort|random|100|14 Jun 2019 21:30:18.432571|1560547818432599|0.001000|all
7|dummy_sort|random|1000|14 Jun 2019 21:30:18.433983|1560547818434003|0.00000000|frag
7|dummy_sort|random|1000|14 Jun 2019 21:30:18.434719|1560547818434746|0.00100000|rpcpmap
7|dummy_sort|random|1000|14 Jun 2019 21:30:18.435132|1560547818435154|0.00000000|merge
7|dummy_sort|random|1000|14 Jun 2019 21:30:18.433873|1560547818433911|0.002000|all
7|dummy_sort|random|10000|14 Jun 2019 21:30:18.436607|1560547818436624|0.00100000|frag
7|dummy_sort|random|10000|14 Jun 2019 21:30:18.439119|1560547818439153|0.00200000|rpcpmap
7|dummy_sort|random|10000|14 Jun 2019 21:30:18.442024|1560547818442075|0.00200000|merge
7|dummy_sort|random|10000|14 Jun 2019 21:30:18.436060|1560547818436082|0.007000|all
7|dummy_sort|random|100000|14 Jun 2019 21:30:18.465317|1560547818465378|0.01000000|frag
7|dummy_sort|random|100000|14 Jun 2019 21:30:18.486231|1560547818486339|0.02000000|rpcpmap
7|dummy_sort|random|100000|14 Jun 2019 21:30:18.510597|1560547818510667|0.02400000|merge
7|dummy_sort|random|100000|14 Jun 2019 21:30:18.453996|1560547818454082|0.057000|all
7|dummy_sort|random|1000000|14 Jun 2019 21:30:18.644600|1560547818644794|0.06900000|frag
7|dummy_sort|random|1000000|14 Jun 2019 21:30:18.878563|1560547818878618|0.23400000|rpcpmap
7|dummy_sort|random|1000000|14 Jun 2019 21:30:19.529777|1560547819529837|0.65100000|merge
7|dummy_sort|random|1000000|14 Jun 2019 21:30:18.570505|1560547818570546|0.959000|all
7|quicksort_random|random|10|14 Jun 2019 21:30:20.224953|1560547820224975|0.00000000|frag
7|quicksort_random|random|10|14 Jun 2019 21:30:20.225321|1560547820225348|0.00000000|rpcpmap
7|quicksort_random|random|10|14 Jun 2019 21:30:20.225667|1560547820225693|0.00000000|merge
7|quicksort_random|random|10|14 Jun 2019 21:30:20.224911|1560547820224945|0.001000|all
7|quicksort_random|random|100|14 Jun 2019 21:30:20.226233|1560547820226254|0.00000000|frag
7|quicksort_random|random|100|14 Jun 2019 21:30:20.226771|1560547820226789|0.00000000|rpcpmap
7|quicksort_random|random|100|14 Jun 2019 21:30:20.227208|1560547820227228|0.00000000|merge
7|quicksort_random|random|100|14 Jun 2019 21:30:20.226196|1560547820226223|0.002000|all
7|quicksort_random|random|1000|14 Jun 2019 21:30:20.227849|1560547820227865|0.00000000|frag
7|quicksort_random|random|1000|14 Jun 2019 21:30:20.229478|1560547820229510|0.00200000|rpcpmap
7|quicksort_random|random|1000|14 Jun 2019 21:30:20.234372|1560547820234425|0.00500000|merge
7|quicksort_random|random|1000|14 Jun 2019 21:30:20.227757|1560547820227785|0.007000|all
7|quicksort_random|random|10000|14 Jun 2019 21:30:20.237303|1560547820237335|0.00100000|frag
7|quicksort_random|random|10000|14 Jun 2019 21:30:20.250825|1560547820250865|0.01300000|rpcpmap
7|quicksort_random|random|10000|14 Jun 2019 21:30:20.279260|1560547820279303|0.02800000|merge
7|quicksort_random|random|10000|14 Jun 2019 21:30:20.236017|1560547820236054|0.044000|all
7|quicksort_random|random|100000|14 Jun 2019 21:30:20.291859|1560547820291898|0.00600000|frag
7|quicksort_random|random|100000|14 Jun 2019 21:30:20.386399|1560547820386446|0.09500000|rpcpmap
7|quicksort_random|random|100000|14 Jun 2019 21:30:20.707079|1560547820707113|0.32000000|merge
7|quicksort_random|random|100000|14 Jun 2019 21:30:20.284878|1560547820284920|0.423000|all
7|quicksort_random|random|1000000|14 Jun 2019 21:30:20.856026|1560547820856076|0.08800000|frag
7|quicksort_random|random|1000000|14 Jun 2019 21:30:21.939782|1560547821939827|1.08300000|rpcpmap
7|quicksort_random|random|1000000|14 Jun 2019 21:30:26.201298|1560547826201340|4.26100000|merge
7|quicksort_random|random|1000000|14 Jun 2019 21:30:20.762273|1560547820762318|5.440000|all
6|dummy_sort|random|10|14 Jun 2019 21:30:26.918722|1560547826918738|0.00000000|frag
6|dummy_sort|random|10|14 Jun 2019 21:30:26.919088|1560547826919140|0.00000000|rpcpmap
6|dummy_sort|random|10|14 Jun 2019 21:30:26.919381|1560547826919401|0.00000000|merge
6|dummy_sort|random|10|14 Jun 2019 21:30:26.918690|1560547826918716|0.001000|all
