procs|alg|input|items|utc|ts|duration
1|dummy_sort|constant|10|13 Jun 2019  4:02:14.425173|1560398534425208|0.000000
1|dummy_sort|constant|100|13 Jun 2019  4:02:14.425334|1560398534425365|0.001000
1|dummy_sort|constant|1000|13 Jun 2019  4:02:14.426064|1560398534426094|0.040000
1|dummy_sort|constant|10000|13 Jun 2019  4:02:14.466163|1560398534466201|4.037000
1|dummy_sort|sorted|10|13 Jun 2019  4:02:18.504002|1560398538504043|0.000000
1|dummy_sort|sorted|100|13 Jun 2019  4:02:18.504136|1560398538504160|0.001000
1|dummy_sort|sorted|1000|13 Jun 2019  4:02:18.504683|1560398538504711|0.043000
1|dummy_sort|sorted|10000|13 Jun 2019  4:02:18.548361|1560398538548415|4.504000
1|dummy_sort|reversed|10|13 Jun 2019  4:02:23.051980|1560398543052002|0.000000
1|dummy_sort|reversed|100|13 Jun 2019  4:02:23.052066|1560398543052083|0.001000
1|dummy_sort|reversed|1000|13 Jun 2019  4:02:23.052618|1560398543052643|0.042000
1|dummy_sort|reversed|10000|13 Jun 2019  4:02:23.095430|1560398543095455|4.453000
1|dummy_sort|random|10|13 Jun 2019  4:02:27.548106|1560398547548130|0.000000
1|dummy_sort|random|100|13 Jun 2019  4:02:27.548199|1560398547548217|0.001000
1|dummy_sort|random|1000|13 Jun 2019  4:02:27.548851|1560398547548877|0.041000
1|dummy_sort|random|10000|13 Jun 2019  4:02:27.590866|1560398547590888|4.403000
1|dummy_sort|interleaved|8|13 Jun 2019  4:02:31.997037|1560398551997057|0.000000
1|dummy_sort|interleaved|100|13 Jun 2019  4:02:31.997117|1560398551997132|0.001000
1|dummy_sort|interleaved|1000|13 Jun 2019  4:02:31.997676|1560398551997698|0.044000
1|dummy_sort|interleaved|10000|13 Jun 2019  4:02:32.042862|1560398552042889|4.362000
1|dummy_sort|bucketed|10|13 Jun 2019  4:02:36.408194|1560398556408235|0.000000
1|dummy_sort|bucketed|100|13 Jun 2019  4:02:36.408521|1560398556408551|0.001000
1|dummy_sort|bucketed|1000|13 Jun 2019  4:02:36.409786|1560398556409828|0.048000
1|dummy_sort|bucketed|10000|13 Jun 2019  4:02:36.458335|1560398556458365|4.448000
1|insertion_sort|constant|10|13 Jun 2019  4:02:40.909931|1560398560909980|0.000000
1|insertion_sort|constant|100|13 Jun 2019  4:02:40.910145|1560398560910181|0.001000
1|insertion_sort|constant|1000|13 Jun 2019  4:02:40.911602|1560398560911631|0.084000
1|insertion_sort|constant|10000|13 Jun 2019  4:02:40.996579|1560398560996602|8.163000
1|insertion_sort|sorted|10|13 Jun 2019  4:02:49.161004|1560398569161028|0.000000
1|insertion_sort|sorted|100|13 Jun 2019  4:02:49.161106|1560398569161124|0.001000
1|insertion_sort|sorted|1000|13 Jun 2019  4:02:49.162119|1560398569162140|0.086000
1|insertion_sort|sorted|10000|13 Jun 2019  4:02:49.248830|1560398569248860|9.116000
1|insertion_sort|reversed|10|13 Jun 2019  4:02:58.365300|1560398578365332|0.000000
1|insertion_sort|reversed|100|13 Jun 2019  4:02:58.365453|1560398578365477|0.002000
1|insertion_sort|reversed|1000|13 Jun 2019  4:02:58.366792|1560398578366825|0.083000
1|insertion_sort|reversed|10000|13 Jun 2019  4:02:58.450206|1560398578450231|8.771000
1|insertion_sort|random|10|13 Jun 2019  4:03:07.221167|1560398587221200|0.000000
1|insertion_sort|random|100|13 Jun 2019  4:03:07.221316|1560398587221342|0.002000
1|insertion_sort|random|1000|13 Jun 2019  4:03:07.222876|1560398587222911|0.090000
1|insertion_sort|random|10000|13 Jun 2019  4:03:07.313426|1560398587313464|8.986000
1|insertion_sort|interleaved|8|13 Jun 2019  4:03:16.303510|1560398596303545|0.001000
1|insertion_sort|interleaved|100|13 Jun 2019  4:03:16.303672|1560398596303696|0.001000
1|insertion_sort|interleaved|1000|13 Jun 2019  4:03:16.305171|1560398596305209|0.089000
1|insertion_sort|interleaved|10000|13 Jun 2019  4:03:16.394476|1560398596394499|8.876000
1|insertion_sort|bucketed|10|13 Jun 2019  4:03:25.272745|1560398605272782|0.000000
1|insertion_sort|bucketed|100|13 Jun 2019  4:03:25.272886|1560398605272904|0.001000
1|insertion_sort|bucketed|1000|13 Jun 2019  4:03:25.274026|1560398605274067|0.091000
1|insertion_sort|bucketed|10000|13 Jun 2019  4:03:25.365523|1560398605365554|9.045000
1|quicksort_left|constant|10|13 Jun 2019  4:03:34.414772|1560398614414797|0.000000
1|quicksort_left|constant|100|13 Jun 2019  4:03:34.414881|1560398614414899|0.001000
1|quicksort_left|constant|1000|13 Jun 2019  4:03:34.415711|1560398614415730|0.084000
1|quicksort_left|constant|10000|13 Jun 2019  4:03:34.500122|1560398614500144|8.284000
1|quicksort_left|sorted|10|13 Jun 2019  4:03:42.785183|1560398622785232|0.000000
1|quicksort_left|sorted|100|13 Jun 2019  4:03:42.785397|1560398622785441|0.002000
1|quicksort_left|sorted|1000|13 Jun 2019  4:03:42.786913|1560398622786952|0.088000
1|quicksort_left|sorted|10000|13 Jun 2019  4:03:42.874801|1560398622874823|8.849000
1|quicksort_left|reversed|10|13 Jun 2019  4:03:51.724178|1560398631724200|0.000000
1|quicksort_left|reversed|100|13 Jun 2019  4:03:51.724276|1560398631724293|0.001000
1|quicksort_left|reversed|1000|13 Jun 2019  4:03:51.725321|1560398631725338|0.092000
1|quicksort_left|reversed|10000|13 Jun 2019  4:03:51.817676|1560398631817698|9.865000
1|quicksort_left|random|10|13 Jun 2019  4:04:01.683849|1560398641683873|0.000000
1|quicksort_left|random|100|13 Jun 2019  4:04:01.683951|1560398641683969|0.000000
1|quicksort_left|random|1000|13 Jun 2019  4:04:01.684614|1560398641684654|0.043000
1|quicksort_left|random|10000|13 Jun 2019  4:04:01.728981|1560398641729006|4.517000
1|quicksort_left|interleaved|8|13 Jun 2019  4:04:06.251013|1560398646251044|0.000000
1|quicksort_left|interleaved|100|13 Jun 2019  4:04:06.251150|1560398646251174|0.001000
1|quicksort_left|interleaved|1000|13 Jun 2019  4:04:06.252167|1560398646252193|0.069000
1|quicksort_left|interleaved|10000|13 Jun 2019  4:04:06.321538|1560398646321571|5.703000
1|quicksort_left|bucketed|10|13 Jun 2019  4:04:12.027832|1560398652027856|0.000000
1|quicksort_left|bucketed|100|13 Jun 2019  4:04:12.027943|1560398652027961|0.000000
1|quicksort_left|bucketed|1000|13 Jun 2019  4:04:12.028498|1560398652028515|0.045000
1|quicksort_left|bucketed|10000|13 Jun 2019  4:04:12.073857|1560398652073883|4.568000
1|quicksort_right|constant|10|13 Jun 2019  4:04:16.645965|1560398656645988|0.000000
1|quicksort_right|constant|100|13 Jun 2019  4:04:16.646072|1560398656646090|0.001000
1|quicksort_right|constant|1000|13 Jun 2019  4:04:16.647025|1560398656647044|0.105000
1|quicksort_right|constant|10000|13 Jun 2019  4:04:16.752096|1560398656752121|10.263000
1|quicksort_right|sorted|10|13 Jun 2019  4:04:27.015610|1560398667015642|0.000000
1|quicksort_right|sorted|100|13 Jun 2019  4:04:27.015772|1560398667015797|0.002000
1|quicksort_right|sorted|1000|13 Jun 2019  4:04:27.017967|1560398667018009|0.127000
1|quicksort_right|sorted|10000|13 Jun 2019  4:04:27.145067|1560398667145092|11.870000
1|quicksort_right|reversed|10|13 Jun 2019  4:04:39.015201|1560398679015224|0.000000
1|quicksort_right|reversed|100|13 Jun 2019  4:04:39.015306|1560398679015324|0.002000
1|quicksort_right|reversed|1000|13 Jun 2019  4:04:39.016779|1560398679016822|0.109000
1|quicksort_right|reversed|10000|13 Jun 2019  4:04:39.126303|1560398679126328|10.893000
1|quicksort_right|random|10|13 Jun 2019  4:04:50.020025|1560398690020059|0.000000
1|quicksort_right|random|100|13 Jun 2019  4:04:50.020208|1560398690020245|0.001000
1|quicksort_right|random|1000|13 Jun 2019  4:04:50.021466|1560398690021523|0.049000
1|quicksort_right|random|10000|13 Jun 2019  4:04:50.071094|1560398690071129|4.595000
1|quicksort_right|interleaved|8|13 Jun 2019  4:04:54.669897|1560398694669933|0.000000
1|quicksort_right|interleaved|100|13 Jun 2019  4:04:54.670089|1560398694670114|0.001000
1|quicksort_right|interleaved|1000|13 Jun 2019  4:04:54.671128|1560398694671172|0.047000
1|quicksort_right|interleaved|10000|13 Jun 2019  4:04:54.718030|1560398694718054|4.942000
1|quicksort_right|bucketed|10|13 Jun 2019  4:04:59.662704|1560398699662734|0.000000
1|quicksort_right|bucketed|100|13 Jun 2019  4:04:59.662832|1560398699662856|0.000000
1|quicksort_right|bucketed|1000|13 Jun 2019  4:04:59.663608|1560398699663633|0.045000
1|quicksort_right|bucketed|10000|13 Jun 2019  4:04:59.709385|1560398699709412|4.587000
1|quicksort_random|constant|10|13 Jun 2019  4:05:04.300373|1560398704300398|0.000000
1|quicksort_random|constant|100|13 Jun 2019  4:05:04.300512|1560398704300532|0.001000
1|quicksort_random|constant|1000|13 Jun 2019  4:05:04.301573|1560398704301593|0.095000
1|quicksort_random|constant|10000|13 Jun 2019  4:05:04.397493|1560398704397530|9.873000
1|quicksort_random|sorted|10|13 Jun 2019  4:05:14.270791|1560398714270814|0.000000
1|quicksort_random|sorted|100|13 Jun 2019  4:05:14.270915|1560398714270932|0.001000
1|quicksort_random|sorted|1000|13 Jun 2019  4:05:14.271702|1560398714271745|0.047000
1|quicksort_random|sorted|10000|13 Jun 2019  4:05:14.319343|1560398714319368|4.625000
1|quicksort_random|reversed|10|13 Jun 2019  4:05:18.944509|1560398718944544|0.001000
1|quicksort_random|reversed|100|13 Jun 2019  4:05:18.944695|1560398718944719|0.001000
1|quicksort_random|reversed|1000|13 Jun 2019  4:05:18.945688|1560398718945716|0.046000
1|quicksort_random|reversed|10000|13 Jun 2019  4:05:18.991984|1560398718992015|4.631000
1|quicksort_random|random|10|13 Jun 2019  4:05:23.623671|1560398723623696|0.000000
1|quicksort_random|random|100|13 Jun 2019  4:05:23.623807|1560398723623832|0.000000
1|quicksort_random|random|1000|13 Jun 2019  4:05:23.624492|1560398723624512|0.044000
1|quicksort_random|random|10000|13 Jun 2019  4:05:23.668935|1560398723668967|4.667000
1|quicksort_random|interleaved|8|13 Jun 2019  4:05:28.339751|1560398728339777|0.000000
1|quicksort_random|interleaved|100|13 Jun 2019  4:05:28.339903|1560398728339921|0.001000
1|quicksort_random|interleaved|1000|13 Jun 2019  4:05:28.340748|1560398728340778|0.047000
1|quicksort_random|interleaved|10000|13 Jun 2019  4:05:28.388892|1560398728388914|4.917000
